Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
,,,,,3.6.3. ADMIN HR AND FINANCE SOPs,1,"Review Admin, HR and Finance SOP",30-May-26,SOP implemented but Not followed,Pending Consultation
,,,,,,,Disseminate the review version ,,Mitigation: Call Section Meeting to comply,
,3.7,Administration Oversight,MFBB," 30,000 ",3.7.1. RUBBISH RECYCLING,1,Develop a recycle process ,15-Jan-26,Recycling Initiative and process not adhere to,In Progress
,,,,,,,Liaise with Executives for Approval,,Mitigation: Review the recycle process and call staff meeting to raise concern,
,,,,,,,Purchase the recycle bins,,,
,,,,,,,Implement the Recycling Initiative,30-Jan-26,,
,,,," 150,000 ",3.7.2. MONTHLY CLEAN UP & HEALTH AWARENESS,12,Coordinate the Monthly Clean Up for VBoS Staffs,Monthly,,Up to date
,,,,,3.7.3. PREMISES SECUIRTY,1,Liaise with Secuirty Businesses for a Guard,,No funding to hire a security guard,MFEM Provide Assistance
,,,,,3.7.4. A Security Guard In Place,1,Develop a Contract with Supplier,,Mitigation: MFEM to provide a Security,
,,,,,,,Security Report for Duty,30-Jan-26,,
,,,," 40,000 ",3.7.5. QUARTERLY HEALTH CHECK UP FOR STAFFS,4,Liaise with VCH for Medical Checkups,Quarterly,,In Progress
,,,,,3.7.6 REVIEW VBOS SOCIAL CLUB,,Develop a VBoS Social Club Constitution,,,
,,,,,VBoS Social Club Constitution,1,Appoint Social Club Members,30-Apr-26,,In Progress
,,,,,VBoS Social Club Committee Appointment,1,Launch the New Social Club ,,,
,HUMAN RESOURCE AND DEVELOPMENT,,,,,,,,,
,3.8,Domestic and Overseas Mission ,MFBB,,3.8.1. Domestic Missions Reporting,4,Facilitate the domestics mission logistics,31-Dec-26,Issues with Flight Cancellation ,Up to date
,,,,,,,Mission Report submitted to Admin,,Mitigation: Resort to next available means of ,
,,,,,,,Action Plan Monitored ,,Transport,
,,,,,3.8.2. Overseas Mission Reporting ,4,Facilitate overseas mission logistics,31-Dec-26,Issue with Visa Application,Up to date
,,,,,,,Mission Report submitted to PSC,,Mitigation: Liaise with MoFA for assistance,
,,,,,,,Action Plan Monitored ,,,
,3.9,Management Visit to Provinces,MFBB," 200,000 ",3.9.1. Torba Management and Santo Management Visit,2,Plan and make arrangements ,30-Jun-26,Funding issues and committed priorites,Not Yet Started
,,,,,,,Submit Report to CS Office,30-Aug-26,Mitigation: Seek funding assistance or video,
,,,," 200,000 ",3.9.2. Malampa and Penama Management Visit ,,Follow up with Action ,,conferencing with Provincial Staffs,
,3.10,Staff Training and Development,MFBB, Donor ,3.10.1. Training and Development Reporting,2,Identify Training Needs,Quaterly,Forms not approved in time,Up to date
,,,,,,,Identify Training Opportunities,,Mitigation: Advise PSC before Officer travels,
,,,,,,,Seek funding for Training and Logistics,,Prepare approval a month before travel month,
,,,,,,,Coordinate Training ,,,
,,,, Donor ,ADMIN & FINANCE TRAINING OPPORTUNITES,,Identify Training Opportunities,,Funding Issues and committed priorites,In Progress  
,,,,,3.10.2. Record Keeping and Filing Management Training for Admin ,1,Seek funding for Training and Logistics,31-Dec-26,Mitigation: Find trainings offered on ground,
,,,,,3.10.3. Finance and Budget Training for Finance Officers,1,Officer Attend Training - Report Submit to Admin and Deputy ,,,
,3.11,Staff Leave Management,MFBB,,3.11.1. Leave Management Reporting,12,Monitor Work Attendance and ensure,Monthly,Staff do not complete leave forms,In Progress  
,,,,,,,Officers adhere to office hours and provide concultation for officers who do not comply. ,,Mitigation: Manager to sign off on the leave form and attach it with time machine records for Admin to process to HRM,
,,,,,3.11.2. Leave Payout ,1,If needed - seek approval for leave payout,31-Dec-26,No funding for leave payout,Not Yet Started
,,,,,,,,,Mitigation: Seek funding assistance  ,
,3.12,Staff Grievacnes Management,MFBB,,3.12.1. All Staff Grievances are addressed in the financial year,100%,Develop an excel of Staff Grievances,31-Dec-26,Staff grievances not addressed,Up to date
,,,,,,,Review and Advice if needed,,Mitigation: Seek advice from HRM and,
,,,,,,,Facilitate request to HRM and PSC,,PSC,
,3.13,Resource Management,MFBB," 150,000 ",3.13.1. ORGANIZATIONAL STRUCTURE,,,,,
,,,,,Transpose Structure and Review JD Implemented,1,Liaise with PSC for the Transpose Structure and JDs,31-Jan-26,Budget not allocated,Complete
,,,,,2025 Restructure submit to PSC,1,Restructure Submit to PSC,31-Mar-26,Mitigation: Supplementary ,Pending Approval from PSC
,,,,,3.12.2.  RECRUITMENT,,,,,
,,,,,All VBoS Positions fully occupied,100%,Seek Direct Appoinments for Interns and staffs with satisfactory performance,30-Jun-26,High Rate of Turnover,In Progress  
,,,,,,,,,Mitigation: Employ graduates on Intern basis,
,,,,,3.12.3.  PERFORMANCE MANAGEMENT,,,,,
,,,,,Appraisal - Section A Workplan submit to HRM,52,Section A workplans,30-Jan-26,Delay in submission ,Complete
,,,,,Appraisal - Section B Mid-year Review submit to HRM,52,Section B Mid-year review,30-Jun-26,Mitigation: Submit File with received forms,Not Yet Started
,,,,,Appraisal - Section C End of Year Submit to HRM,52,Section C- End of Year ,15-Dec-26,Those not submited can be submitted later,Not Yet Started
,FINANCIAL MANAGEMENT,,,,,,,,,
,3.14,Annual Budget,MFBB," 80,000 ",3.14.1. 2026 Budget Supplementary Window ,1,Liaise with CS for Budget Supplementary and facilitate,27-Feb-26,Office change of priorties and commitments,In Progress  
,,,,,3.14.2. 2027 Budget Workshop,1,Coordinate budget Workshop,30-May-26,Mitigation: Review and make adjustment to budget spending,Not Yet Started
,,,,,3.14.3. 2027 Budget Input to VBMS,1,Facilitate 2027 Budget Input VBMS,30-Jun-26,,Not Yet Started
,3.15,Financial Management and Monitoring,MFBB,,3.15.1. DESIGNATED SIGNATORIES,,,,,
,,,,,2026 Designated Signatories Form Complete,1,Liaise with CS for designated signatories and submit to Finance,30-Jan-26,System Down,Complete
,,,,,3.15.2.  LPO COMMITMENTS AND RECONCILIATION,,,,Mitigation: Manual Payment Form or Journal for Govt Depts ,Up to date
,,,,,All LPO Commitments Reconciled ,100%,Commit LPO and approvals,,,
,,,,,Manage all Low and High value Procurement,,Provide Quarterly updates on oustanding ,Quarterly,,
,3.16,Financial Reporting,MFBB,,3.16.1.  MONTHLY FINANCIAL REPORTING,12,Prepare Expenditure and Budget,Monthly,System Down,Up to date
,,,,,Expenditure and Budget Monthly Updates in Excel Format,,Excel Tablulate,,Mitigation: Exract Report Weekly from system,
,,,,,,,Send to VBoS Execuives,,,
,,,,,3.16.2.  QUARTERLY FINANCIAL REPORTING,4,Review all Fund 2 cost centers ,Quaterly ,System Down,In Progress  
,,,,,Expenditure and Budget Summary Report ,,Reconcil all LPOs and provide a ,,Mitigation: Exract Report Weekly from system,
,,,,,,,Report to CS Office,,,
,3.17,National project and in-house project support,MFDB,,3.17.1.  HIES FINANCIAL MANAGEMENT,,,,,
,,,,,Commitment Project LPO Payments,100%,Review Invoice before comit LPO,On-going,Change of Program and Work Plans,Up to date
,,,,,HIES Project Expenditure and Budget Updates Excel Format,12,Extract payment info and prepare report,Monthly,Syste Down,Up to date
,,,,,,,to Project Coordinator and CS Office,,Mitigation: Exract Report from System,
,,,,,HIES Project Financial Reporting,4,"Prepare report base on expenditure, budget, asset, challenges and way forwaard",Quarterly,Mitigation: Develop an excel record payment committed. ,In Progress  
,TOTAL BUDGET,,," 7,080,000 ",,,,,,
