Strategy Objective,Code,Program,Activity, Budget ,Output/Service Target,Target,Action,Due Date,Comments/Risks,Progress
,,,,,,,Integrate QA steps into regular production cycles,Jan-Dec,Delays in validation due to limited technical reviewers,
,5.6,Innovation & System Modernization,," VUV 10,000 ","5.6.1. Develop real-time dashboards to track enumerator progress, completion rates, and data quality flags.",1,Develop real-time dashboards for survey progress and data quality,Jan,Cybersecurity vulnerabilities if systems are not properly maintained,
,,,," VUV 160,000 ",5.6.2. Introduce secure cloud-based systems for storing and backing up raw and processed data.,1,Implement cloud-based storage solutions and secure access protocols,June,Integration issues between new and existing systems,
,,,MFDB,,"5.6.3. Implement secure logins, encryption, and data access protocols for sensitive datasets.",1,"Roll out encryption, secure logins, and data governance framework.",Dec,Limited staff capacity to manage modern systems,
,,,,,"5.6.4. Integrate Power BI, Tableau, or R Shiny for interactive data visualization and real-time dashboards.",1,Develop AI chatbot and mobile-friendly VBOS website,Dec,,
,,,,,"5.6.5. Develop basic AI chatbot to answer FAQs about census, surveys, or key indicators.",1,Implement 3CX phone system for centralized call management,Feb,,
,,,,,5.6.6. Develop mobile friendly portal for key reports and indicators,1,,,,
,,,,,5.6.7. Development of the Vanuatu Data Protal,1,,,,
,,,,,5.6.8. Introduction of 3cx phone system,1,,,,
,5.7,Technical Assistance & Capacity Building,,,"5.7.1. Statistical Methods Training: Workshops on survey sampling, weighting, variance estimation, seasonal adjustment, data anonymization and modern estimation techniques.",1,"Deliver workshops on sampling, estimation, anonymization, and classification standards",March,Training fatigue or low attendance from NSS stakeholders,
,,,MFDB,,5.7.2. Standards & Classifications / Quality Framework training,1,Conduct Power BI training and practical sessions,March,Limited financial resources for repeated training,
,,,,,,,Complete the comprehensive review of NSDP indicators and trends,April,Staff turnover reducing institutional knowledge,
,,,," VUV 1,000,000 ",5.7.3 Provide training on Microsoft Power BI,1,"Provide ongoing support for CAPI, survey processing, data cleaning, and dashboard monitoring",Ongoing,,
,,,,,5.7.4. Review of the National Sustainable Plan (NSDP),1,,,,
,5.8,Survey Training & Capacity Support,,,"5.8.1. Technical support to survey CAPI hosting"" (Questionnaire design and uploading to the server, managing the questionnaire on the server, and assigning usernames to fieldworkers and supervisors)",1,"Support questionnaire design, server upload, and CAPI user management",Ongoing,Tablet or CAPI system failures could delay data collection,
,,,,,5.8.2. Technical support to survey publicity (MSS will be supporting with logo and uniform design as well as design of promotional materials at the direction of DCM),1,"Produce and disseminate promotional materials (posters, banners, digital content)",Ongoing,Insufficient training time leading to field errors,
,,,MFDB,,"5.8.3. Technical support to survey trainings (MSS will support in training for the use of tablets and software navigation, and to lead any discussions of a technical nature.  MSS would also identify remedial training needs if data quality issues arise.)",1,"Provide training on tablet use, field procedures, and troubleshooting",Ongoing,Late changes to questionnaires impacting CAPI programming,
,,,,,5.8.4. Technical support to survey fieldwork and quality monitoring (MSS to lead in developing the monitoring dashboard),1,Develop and operationalize real-time fieldwork monitoring dashboards,January,Limited partner coordination causing inconsistent survey procedures,
,,,,,"5.8.5. Technical support to survey data processing, cleaning, and analysis (MSS to work with partners in these efforts towards a clean dataset that can be anonymized for publication in our data archive. MSS to also work with partners on analysis in partnership with responsible officers)",1,"Assist partners with data processing, cleaning, anonymization, and analysis",Jan - Dec,Delays in data cleaning due to incomplete or poor-quality field data,
,,,,,5.8.6. Facilitate survey partnership relations (coordination role with partners when planning a survey).,1,Coordinate survey planning and partnership meetings with stakeholders,Ongoing,,
,,TOTAL BUDGET,," 1,920,000 ",,,,,,
